CLASS,SENTENCES,SNO
C,"اسلام آباد: خورشید شاہ کے بیان پرانھیں وضاحت کا موقع دیا جانا چاہیے ،حافظ طاہر اشرفی ",891
C,سرجی آئی فون تے نیٹ سلو ای بڑا اے سم تے اک حوالہ کڈ لیا اے لنک سینڈ کرنا واں چیکنگ پا لوو ,892
C,"کراچی، عاشورہ محرم پر عزادارن کوہرممکن سہولیات فراہم کی جائیں ،رکن قومی اسمبلی محبوب عالم ",893
C,شہید پاکستان عبد القادر ملا بھی پروفیسر غلام اعظم کے ساتھی تھے ۔ملک کا مشرقی بازو کاٹنے کی بھارتی سازش کا مقابلہ۔۔۔ ,894
C,سن رھا ھے تو دیکھ رھی ھو ں میں ,895
C,رسول اللہﷺ کے اخلاق یہ تھے کہا گر کوئی آدمی آپؐ کی طرف منہ کرکے بات کرتاتو آپؐ اس کی طرف متوجہ ہی رہتے یہاں تک کہ فارغ ہوکروہی آدمی چہرہ پھیرلیتا ,896
C,متوجہ ہونے کے لئے شکریہ یہ میرا ڈایلاگ ہے ,897
C,"تنہا زندگی جینے کا بھی اپنا ہی مزہ ہے ۔ ۔ ۔ نہ کسی کے آنے کی خوشی ، اور نہ کسی کے جانے کا غم ۔ ",898
B,ہوشیار خبردار شھباز شریف کے چھوٹے بیٹے سلمان شھباز کا درد ناک و دلخراش سکینڈل منظر عام پہ آگیا ۔ ان واہیات ناسور۔۔۔ ,899
B,جیو نیوز مسلسل 18 گھنٹے تک افواجِ پاکستان اور آئی ایس آئی پر کیچڑ اچھالتا رہا ۔لیکن پیمرا کا چئیرمین اور سارا۔۔۔ ,900
B,"لاہور: بادامی باغ سے مردہ جانوروں کا گوشت پکڑا گیا، دو افراد گرفتارلاہور(تاندلیانوالہ نیوز سے ) لاہور میں مردہ۔۔۔ ",901
C,دریا کی طرح خاموش نہ تھاجن کو بلا کا چاہتا تھاان ہی کے طعنے بھی سنتا تھادنیا نے اسے کچھ نہ دیا ,902
A,بہرحال حقیقت پتا ہے مجھے جاری رکھیں :)) ,903
B,ایسے بنے گا نیا پاکستان۔ ۔ ۔ ۔اور ملک کے نام نہاد وارثوں ۔ ۔ خوش ہو ؟ ,904
C,لاہور: ہمارے دور حکومت میں ادویات بھی مفت ملتی تھیں ۔ چودھری پرویز الہی ,905
C,محمد ﷺ نے فرمایا جسکا مفہوم ہے ۔۔۔۔۔۔اگر میرے بعد کوئی نبی ہوتے تو وہ عمر ہوتے ۔۔۔۔ سیدنا عمر فاروق ,906
C,چندے سے پیسٹریاں خریدی جائیں گی ,907
C,آپ کس چينل پر آتے ہو ٹائم اور چینل بتا دو دیکھ لیا کرو گا۔ ,908
C,وزیر اعلیٰ نے یقین دہانی کرائی کہ حکومت جرائم پر قابو پانے کیلئے تمام وسائل بروئے کار لائے گی ۔ ,909
B,محکمہ موسمیات کیمطابق بحیرہ عرب میں ہوا کے کم دباؤ میں مزید شدت آرہی ہے امکان ہے آئندہ 24 گھنٹوں میں یہ سمندری طوفان میں تبدیل ہوجائے گا ,910
C,ﭘﺨﺘﮕﯽ ﺍﻭﺭ ﻣﯿﭽﻮﺭﭨﯽ ﮐﯽ ﺿﺮﻭﺭﺕ ﺟﺴﻢ ﺳﮯ ﺯﯾﺎﺩﮦ ﺫﮨﯿﻦ ﮐﻮ ﺩﺭﮐﺎﺭ ﮨﻮﺍ ﮐﺮﺗﯽ ﮨﮯ۔ﮐﮧ ﺟﺴﻢ ﺗﻮ ﻋﻤﺮ ﮐﮯ ﺳﺎﺗﮫ ﺳﺎﺗﮫ ﻓﻄﺮﯼ ﺍﻧﺪﺍﺯ ﻣﯿﮟ۔۔۔ ,911
B,ابھی چھوٹا بھائی صدمہ میں ہے جلد ہی کوئی نحوست بھرا فیصلہ کر ہی لے گا ,912
B,کیا ریلوے شیخ نے نهیں بحال کی تھی۔ اگر لال مسجد اس په ڈالتے ھو ھو اس کے اچھے کام کیوں اس په نهیں ڈالتے ۔ ,913
B,"بریکنگ:- دھرنوں پر روزانہ کے اخراجات کروڑوں روپے تھے ، جس کی وجہ سے پارٹی فنڈز ختم ہو گئے ",914
B,ہاں تم ویسے ہی پراسرار ہے اور پراسرار ڈائنیں ہوتی ہیں ,915
B,ﺩﺑﺌﯽ: ﺁﺳﭩﺮﯾﻠﯿﺎ ﮐﮯ ﺧﻼﻑ ﭘﺎﮐﺴﺘﺎﻥ ﮐﯽ ﭘﮩﻠﯽ ﻭﮐﭧﮔﺮﮔﺌﯽﻣﺤﻤﺪ ﺣﻔﯿﻆ ﺑﻐﯿﺮﮐﻮﺋﯽ ﺭﻥ ﺑﻨﺎﺋﮯ ﺁﺅﭦ ,916
C,میں نے ورلڈ کپ جیتامیں نے ہسپتال بنایامیں نے سیاسی پارٹی بنائیمیں نے کنٹینر سیاست شروع کیمیں نے چندہ کی ٹیکنالوجی کو بام عروج تک پہنچایا ,917
B,بریکنگ :- کراچی:ایدھی سنٹر ڈکیتی کے مرکزی ملزم مظہرکی نشاندہی پر پولیس کے چھاپے ,918
B,شرمندہ مت کیجیے جناب۔ ۔ ۔ ,919
B,"جہانگیرترین،خورشیدقصوری،اعظم سواتی ہے اس پارٹی میں کیوں لگتا ہے کہ ہے فقیر پی ٹی آئی ۔۔۔؟مانگنا تو عادت ہے بس۔۔! ",920
C,اگر دھرنے سے کچھ اچھا ہو تو کامیابی ہے ورنہ اس کا کیا کرنا۔ ,921
C,سستی بجلی عوام کا جائز مطالبہ ہے : نواز شریف اور عوام کو ایسے جائز مطالبات کرتے رہنا چاہیے کیونکہ سب اللہ کے اختیار میں کبھی تو تقدیر بدلے گا ,922
C,دہشتگردی میں جاں بحق گریڈ 20 سے اوپر کے ملازمین کے اہلخانہ کو ایک کروڑ روپے امداد ملے گی ,923
B,"ٹریفک چوک تلہ گنگ کا نام"" غازی میاں محمد شہید چوک""جسے ہم بھول گئے تلہ گنگ:شہر کے معروف ترین چوک ٹریفک چوک کانام۔۔۔ ",924
B,کسی روندے نوں ھسایا ای تے دس خاں کسی پکھے نوں رجایا اع تے دس خاں راه وچ پے روڑے نوں ھٹایا ای تے دس خاں کسی دے پھٹ نوں سیتا ای تے دس خاں 1/2 ,925
B,"منافق کی تین نشانیاں ہیں جب بات کرے توجھوٹ بولے ، جب وعدہ کرے تواس کی خلاف ورزی کرے اور جب امانت رکھوائی جائے تواس میں خیانت کرے ۔(بخاری) ",926
B,احتجاج احتجاج احتجاج مہاجر قوم اپنی نسلوں کی بقا کيلئے گھروں سے باہر نکليں ۔کليم الطافی~ ,927
B,"لفظ مہاجر کی توہین کرنے پر خورشید شاہ سمیت پیپلز پارٹی کے رہنما رسوا ہوں گے ،ندیم احسان ",928
B,"۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔۔ہر کسی کو اپنے جان کا ابھیمان تو ہوتا ہے ، پرنتو اپنے ابھیمان کا جان نہیں ہوتا۔ ",929
B,مگر ہم بیان ہوں کیسے رسوائیوں سے ڈرتا ہوں شاید ,930
B,کینیڈا کی پارلیمنٹ میں فائرنگ کی ویڈیو جاری: کینیڈا کی پولیس نے پارلیمنٹ پر حملے کی ویڈیو جاری۔۔۔ ,931
B,لفظوں کے کچھ کنکر پھینکو جھیل سی گھری خاموشی ھے ,932
C,شب وصال جلدی آجاوے گی اگر تو کسی ہور ہانڈی پر توجہ مرکوز کرلے گھر والوں کو پتا تو چلے منڈا جوان ہو گوا ,933
C,جب آپ نے خان کو چھوڑ دیا تو بحث کا فائدہ نہیں ,934
B,سنا ہے دھرنے میں سب کچھ مل رہا ہے کیا کوئ چرسی ھے ؟ ,935
B,بریکنگ:- دھرنوں نے تحریک انصاف اور عوامی تحریک کو کنگال کر دیابریکنگ:- دونوں پارٹیاں پہلی بار مالی بحران کا شکار ہو گئیں ,936
B,پاکستان ٹیم کی گھٹیا کارکادی دیکھ کر ایک شیر یاد ایا شرم تم کو مگر نھیں اتی ,937
B,چوک میں مانگنے والے فقیروں کی جگہ پی ٹی آئی اپنے ورکرز کو کام پر بھیجے گی۔ ,938
B,لعنت ہے ایسے نظام پر جس میں ٹیکسی چلانے کے لیے گریجوئیٹ ہونا ضروری ہے مگر---ملک چلانے کے لیے یہ شرط پارلیامنٹ نے ختم کر دی ہے ,939
B,"اسپیکر کے سامنے ذاتی طور پر پیش ہو کے تصدیق کرنا ضروری ہے ، ابھی ہوائی استیفے ہیں ، اور زبردستی کے بھی ",940
B,قادری تو کشتیاں جلاکر آیاتهاکشتیاں ہی جلائیں گهر اورسامان تو نہیں جلایا نا ,941
B,"ہنہ کوتاہیوں سے سبق۔۔۔ فرشتے غلطیاں نہیں کرتے ، کنٹینرخان ",942
B,"مجھ پر حملے ہورہے ہیں ، بتایا جائے میرا گناہ کیا ہے ؟مولانا فضل الرحمان ۔ ",943
C,آپکی ٹوئیٹس کے کیا کہنے ! ماشاٗ اللہ اللہ پاک آپ کو ڈھیروں اجر عطا فرمائے ۔۔۔ ! آمین ! ,944
B,ان کا کام ہی لوٹنا ہے ۔۔۔۔ ,945
C,عوامی تحریک کے چیئرمین ڈاکٹر طاہر القادری نے شاہراہ دستور پر 70 روزہ جاری دھرنا ختم کر کے جہاں حکومت کو ریلیف دیا۔۔۔ ,946
B,"دبئی آسٹریلیا کی مزاحمت جاری، میچ کے آخری سیشن میں پاکستان کو دو وکٹوں کی ضرورت۔ تازہ ترین اسکور پر ",947
B,"میٹرو بس منصوبہ ایک ارب 65 کروڑ 87 لاکھ روپے سالانہ خسارے میں چل رہا ہے ، دستاویز ",948
C,"لاہور: انڈر ۱۹ ٹیم کا اعلان، سعود سکیل کپتان برقرار ",949
C,"بہت بہت شکریہ۔ خیر مُبارک, آپکو بھی مُبارک ہو ",950
B,"نقصان تھوڑا ہوا ،اس غریبکا ،جمع پونجی بھی گئی ،کاروبا بھی تباہ ہوا،اورہاتھ بھی کچھ نہیں آیا ۔کہتے تھے حکومت ملے گی ",951
B,چیرمین تحریک انصاف عمران خان کا کہنا ہے کہ محرم الحرام آنے کے باوجود ہم اسلام آباد سے نہیں جائیں گے جب کہ محرم۔۔۔ ,952
B,پاکستانی فورسز کی جانب سے کوہستان مری کے مختلف علاقوں میں عام بلوچ آبادی کو نشانہ بنایا اور معصوم بلوچوں پر فضائی۔۔۔ ,953
B,"سارے پاکستا کو پتا ھے دونوں بڑی پارٹیاں مل کر کس طرح پاکستان پر زبردستی قابض ھیں ۔اب پولیس عوام کے حقوق صلب جرتی ھے ۔پیمرا،نیپرا،نادرا نو میرٹ ",954
B,سیالکوٹ: ہندوستانی فورسز کی بلا اشتعال فائرنگ: پاکستان کے صوبہ پنجاب کے شہر سیالکوٹ کی ورکنگ۔۔۔ ,955
B,"اسلام آباد: ملزم کا ایک ساتھی فرار ہوگیا، کسی کارکن پر حملہ ہوا تو شدید ردعمل ہو گا،رشید گوڈیل ",956
B,ﺟﻮ TI ﮐﮯ ﻟﻮﮒ ﮔﺎﻟﯽ ﮔﻠﻮﭺ ﮐﺮ ﺭﮨﮯ ﮨﯿﮟ ۔ ﺍﻥ ﮐﻮ 30 ﺍﮔﺴﺖ ﮐﯽ ﺭﺍﺕ ﮐﻮ ﯾﺎﺩ ﺭﮐﻬﻨﺎ ﭼﺎﮨﯿﮯ ۔ ﺍﭘﻨﮯ ﻟﯿﮉﺭ ﮐﻮ ﭼﻬﻮﮌ ﮐﺮ ﺑﻬﺎﮒ ﮔﮯ ﺗﻬﮯ ,957
C,انشا اللہ۔ لیکن اب وقت ہے کہ کوئی سیاسی بلنڈر نا کیا جائے ۔ جوش کے بجائے ہوش سے کام لیا جائے ۔ ,958
C,دنیا کے ایک بہترین مسلم خلیفہ کی اپنے بچوں کو نصیحت۔ مولانا طارق جمیل صاحب ,959
C,"تہذیب سکھاتی ہے جینے کا سلیقہ,تعلیم سے جاہل کی جہالت نہیں جاتی۔ کچھ دوغلے لوگوں کے نام۔۔۔ ",960
C,"مہاجر اپنے حصے کا پاکستان ساتھ لیکر آئے تھے ، خواجہ اظہار الحسن۔۔۔ العجب ",961
C,پاکستان کو میچ جتنے کیلے تین ویکٹس کی ضرورت۔ میچ ہاتھ میں ہے ابھی بھی۔ ,962
C,پاکستان کا معاشی حب کراچی ہے ۔ خالد مقبول صدیقی ,963
C,نئے صوبے کا قیام انتظامی بنیادوں پہ ہونا چاہیئے ! لسانی بنیادوں پہ نہیں ,964
B,"انشاء جی اٹھو اب کوچ کرو، اس شہر ميں جی کو لگانا کيا۔۔۔۔۔: انشاء جی اٹھو اب کوچ کرو، اس شہر ميں جی کو لگانا کي۔۔۔ ",965
C,کوئی گیا تو اسے بھی شہید کردو - طاہر القادری جی تو خکم کی تعمیل کب کی جائے ,966
B,پہلی بار مجھے بھی جب کسی نے انکل کہا تھا تو دل دکھا تھا لیکن آہستہ آہستہ عادت ہو گئی ہے ۔ آپ کو بھی ہو جاے گی ,967
B,چندے سے انقلاب نہیں لایا جاسکتا اور نہ بندے اُٹھانے سے انہیں چُپ کروایا جا سکتا ہے ,968
C,گھر سے استنجاء اور وضو کر کے مسجد آنا:احادیث مبارکہ سے یہ ثابت ھوتا ھے کہ وضو اور استنجاء گھر سے کرکے جانا۔۔۔ ,969
C,اُس آدمی نے اِس سالار کو کافی معقول ٹپ دی ہے ۔ ,970
C,چچا غالب کی روح سے معذرت کے ساتھہم نے مانا کہ کچھ نہیں ڈیزلمفت ہاتھ آئے تو برا کیا ہے ,971
C,واہ جناب واہ! اچھی رہی۔ جناب خود کو فرشتہ سمجوں وہ انسان ہیں ,972
C,"اسلام آباد :پی اے ٹی کا دھرنا ختم، صفائی کے کام کا آغاز ، روزنامہ اُردو پوائنٹ ",973
C,دنیا نے کس کا راہ وفا میں دیا ہے ساتھتم بھی چلے چلو یوں ہی جب تک چلی چلے ,974
B,عمران خان عورت ہے,975
C,"سچن تیندولکر کا وراٹ کوہلی کو مشورہ، یہ غلطی کبھی مت کرنا، تباہ ہو جائے گا کیرئیر",976
B,"گریٹر نوئیڈا میں ماں بیٹی کا سفاکانہ قتل، معاملہ میں ایف آئی آر درج، تحقیقات شروع",977
C,عصمت چغتائی کے 107 ویں یوم پیدائش پر گُوگل کا ڈوڈل کے ذریعہ اردوادیبہ کو خراج عقیدت,978
C,فلم اسٹار انوپم کھیر فلم اینڈ ٹیلی ویژن انسٹی ٹیوٹ آف انڈیا کے چیئرمین مقرر,979
B,جموں۔ کشمیر: 9 سالہ بچی کی اجتماعی عصمت دری کے بعد آنکھیں نکال کر جسم پر چھڑکا تیزاب,980
C,"بال بال بچ گئے نمبر ایک گیند باز جسپریت بمراہ ، ورلڈ کپ سے پہلے ختم ہوجاتا کرکٹ کیریئر ! ۔",981
C,"جنوبی افریقی گیند بازوں کا قہر، بابراعظم کی نصف سنچری،181رنوں پرآل آوٹ ہوگئی پاکستانی ٹیم",982
C,"فلم ' ٹھگس آف ہندستان ' کے ٹریلر میں کٹرینہ کیف کا نظر آیا یہ بولڈ انداز ، یہاں دیکھئے تصویریں",983
C,"آئی پی ایل 2018 : ممبئی - بنگلورو میچ کے دوران کوہلی کے ساتھ بڑا دھوکہ ، ""سازش ""میں امپائر بھی شامل",984
C,"پرینکا چوپڑا کے کہنے پر کینسر سے متاثر سونالی بیندرے نے اپنایا نیا انداز، کہا شکریہ",985
C,"سلمان خان کی اس فلم میں یوپی کے بائیکرس دکھائیں گے اپنا کرتب ، دیکھنے کو ملے گا ""موت کا کنواں"" ۔",986
C,سلمان خان نے بہترین اداکاری کے ذریعہ فلمی دنیا میں قائم کی اپنی ایک علاحدہ شناخت,987
C,"پاکستان کوملا 15 سال کا طوفانی گیند باز، دوسرے ہی میچ میں حاصل کرلئے 6 وکٹ",988
C,بی جے پی میں شامل ہوں گی سپنا چودھری؟ دو- تین دن میں آسکتی ہے بڑی خبر,989
C,"‘‘رنبیر کپور نے کیا قبول ، ہے انہیں بھی عالیہ پر ’’کرش",990
C,"ہولی پر اداکارہ کی کار پر شرابیوں کا حملہ ، لوگوں نے نہیں کی مدد تو خود ہی چپل سے کرنے لگی پٹائی",991
C,جانیں رنبیر کپور پر ان کی کرائے دار نے کیوں کیا 50 لاکھ کا مقدمہ,992
C,"دھونی اینڈ کمپنی کی کولکاتہ نائٹ رائیڈرس پرآسان جیت، رسیل نے اس میچ میں بھی دکھایا دم",993
C,"پرنیتی چوپڑا نے بلیک بکنی پہن کر پانی میں لگائی آگ ، دیکھ کر آپ کے اڑجائیں گے ہوش",994
B,"خوشحالی کیلئے گھر پر بلایا تانترک ، خاتون کی آبروریزی کرکے ہوا فرار",995
B,"پونے : ایک سالہ بچی سے عصمت دری کے بعد کیا قتل، ملزم گرفتار",996
B,"اغوا کے بعد تین سال کی معصوم کی آبروریزی ، قبرستان کے نزدیک خون سے لت پت ملی ، حالت نازک",997
C,ہندوستانی کرکٹ ٹیم کے ایک اہم ستون ہیں مہندرسنگھ دھونی: عرفان پٹھان,998
C,جنوبی افریقی کرکٹرنے اچانک کردیا ریٹائرمنٹ کا اعلان,999
C,"سلمان خان کے والد سلیم خان کے قرض دار ہیں شاہ رخ خان ، اس شو پر کیا انکشاف",1000
